Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability;Hand;Hand Status;OBJ Position;TAR position
3334357;1005162108374195398;1005162108840026600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334377;1005162108474233930;1005162108840086900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334397;1005162108574269915;1005162108840100600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334417;1005162108674303664;1005162108840118300;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334437;1005162108774334965;1005162108840129800;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334457;1005162108874372749;1005162108882455900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334477;1005162108974407935;1005162108984344900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334497;1005162109074440490;1005162109076223100;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334517;1005162109174480207;1005162109178175600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334537;1005162109274517499;1005162109277151600;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334557;1005162109374552166;1005162109376554400;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334577;1005162109474584284;1005162109477451100;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334597;1005162109574622073;1005162109577200800;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334617;1005162109674657318;1005162109676703700;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.001, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334637;1005162109774690156;1005162109777963400;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334657;1005162109874729286;1005162109880990900;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334677;1005162109974765615;1005162109977655200;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334697;1005162110074799297;1005162110089341300;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
3334717;1005162110174839596;1005162110177264800;(-0.664, 0.929, 0.359);(0.023, 0.152, 0.000, 0.988);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;;(-0.24, 1.21, -9.70);(0.00000, 0.60306, 0.00000, -0.79769);not using;not using
